year,district,Crime Type,Total Crime
2018,Mianwali,burglaries,91
2018,Sargodha,burglaries,382
2019,PUNJAB,burglaries,12643
2019,Bahawalpur Div.,burglaries,998
2019,Bahawalnagar,burglaries,123
2019,Bahawalpur,burglaries,500
2019,Rahim Yar Khan,burglaries,375
2019,D.G.Khan Division,burglaries,576
2019,D.G.Khan,burglaries,129
2019,Layyah,burglaries,49
2019,Muzaffargarh,burglaries,282
2019,Rajanpur,burglaries,116
2019,Faisalabad Div.,burglaries,1229
2019,Faisalabad,burglaries,670
2019,Chiniot,burglaries,150
2019,Jhang,burglaries,211
2019,T.T.Singh,burglaries,198
2019,Gujranwala Div.,burglaries,996
2019,Gujranwala,burglaries,314
2019,Gujrat,burglaries,133
2019,Hafizabad,burglaries,77
2019,Mandi Baha-ud-Din,burglaries,88
2019,Narowal,burglaries,58
2019,Sialkot,burglaries,326
2019,Lahore Division,burglaries,5041
2019,Kasur,burglaries,166
2019,Lahore,burglaries,4373
2019,Nankana Sahib,burglaries,137
2019,Sheikhupura,burglaries,365
2019,Multan Division,burglaries,1406
2019,Khanewal,burglaries,154
2019,Lodhran,burglaries,151
2019,Multan,burglaries,719
2019,Vehari,burglaries,382
2019,Rawalpindi Div.,burglaries,973
2019,Attock,burglaries,66
2019,Chakwal,burglaries,88
2019,Jhelum,burglaries,95
2019,Rawalpindi,burglaries,724
2019,Sahiwal Division,burglaries,666
2019,Sahiwal,burglaries,165
2019,Okara,burglaries,333
2019,Pakpattan,burglaries,168
2019,Sargodha Div.,burglaries,758
2019,Bhakkar,burglaries,124
2019,Khushab,burglaries,68
2019,Mianwali,burglaries,104
2019,Sargodha,burglaries,462
2020,PUNJAB,burglaries,12825
2020,Bahawalpur Div.,burglaries,1194
2020,Bahawalnagar,burglaries,174
2020,Bahawalpur,burglaries,493
2020,Rahim Yar Khan,burglaries,527
2020,D.G.Khan Division,burglaries,968
2020,D.G.Khan,burglaries,127
2020,Layyah,burglaries,140
2020,Muzaffargarh,burglaries,542
2020,Rajanpur,burglaries,159
2020,Faisalabad Div.,burglaries,1174
2020,Faisalabad,burglaries,593
2020,Chiniot,burglaries,157
2020,Jhang,burglaries,185
2020,T.T.Singh,burglaries,239
2020,Gujranwala Div.,burglaries,1141
2020,Gujranwala,burglaries,370
2020,Gujrat,burglaries,144
2020,Hafizabad,burglaries,84
2020,Mandi Baha-ud-Din,burglaries,90
2020,Narowal,burglaries,52
2020,Sialkot,burglaries,401
2020,Lahore Division,burglaries,4293
2020,Kasur,burglaries,160
2020,Lahore,burglaries,3632
2020,Nankana Sahib,burglaries,139
2020,Sheikhupura,burglaries,362
2020,Multan Division,burglaries,953
2020,Khanewal,burglaries,113
2020,Lodhran,burglaries,71
2020,Multan,burglaries,549
2020,Vehari,burglaries,220
2020,Rawalpindi Div.,burglaries,1706
2020,Attock,burglaries,83
2020,Chakwal,burglaries,95
2020,Jhelum,burglaries,144
2020,Rawalpindi,burglaries,1384
2020,Sahiwal Division,burglaries,580
2020,Sahiwal,burglaries,140
2020,Okara,burglaries,320
2020,Pakpattan,burglaries,120
2020,Sargodha Div.,burglaries,816
2020,Bhakkar,burglaries,128
2020,Khushab,burglaries,66
2020,Mianwali,burglaries,116
2020,Sargodha,burglaries,506
2008,PUNJAB,Motor Vehical Theft,11982
2008,Bahawalpur Div.,Motor Vehical Theft,742
2008,Bahawalnagar,Motor Vehical Theft,108
2008,Bahawalpur,Motor Vehical Theft,296
2008,Rahim Yar Khan,Motor Vehical Theft,338
2008,D.G.Khan Division,Motor Vehical Theft,375
2008,D.G.Khan,Motor Vehical Theft,151
2008,Layyah,Motor Vehical Theft,67
2008,Muzaffargarh,Motor Vehical Theft,113
2008,Rajanpur,Motor Vehical Theft,44
